dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
41,9950449,39,64,0.09498225152492523,0.06463778018951416,0.014680802822113037,0.7011712193489075,0.2724094576750233,0.358974358974359,0.14814814814814817,0.0,0.4125964275385619,0.5885265125516315,25.0,0.609375,1.0,0.5128205128205128,0.2590428937259923,0.2,0.30588235294117644,0.6666666666666666,0.23076923076923078,0.3512111522746102,0.18582533299922943,0.046955421566963196,
42,99507,22,64,0.05387198552489281,0.03843827173113823,0.011316745541989803,0.8727586296471682,0.37211943176900614,0.45454545454545453,0.27083333333333337,0.6666666666666665,0.3262040624118722,0.637568083306766,42.0,0.34375,1.0,0.4090909090909091,0.13726790450928383,0.0,0.47457627118644075,1.0,0.3181818181818182,0.27949277581711107,0.06448964029550552,0.3243367671966553,
43,99510177,44,64,0.11078733205795288,0.07235203683376312,0.0162785816937685,0.5707682662389495,0.2872284744174846,0.36363636363636365,0.12187512187512188,0.0,0.36229473377499694,0.5623879079477925,20.0,0.6875,1.0,0.4772727272727273,0.15452091767881243,0.0,0.29473684210526313,0.888888888888889,0.1590909090909091,0.3059370782726046,0.2114161103963852,0.053737085312604904,
44,99515071,40,64,0.09685851633548737,0.060787543654441833,0.015211766585707664,0.40900682136416433,0.13542919114437596,0.275,0.14583333333333334,0.0,0.39433111422216927,0.4720244149822707,24.0,0.625,1.0,0.375,0.22867965367965368,0.3125,0.3211009174311927,0.8,0.1,0.37687125183684816,0.27298352122306824,0.10953600704669952,
45,99516205,38,1,0.0850284993648529,0.044710904359817505,0.011050868779420853,0.001036607905438072,1.0975476033979104e-05,0.2894736842105263,0.13106295149638802,0.0,0.005512701318060093,0.18802850821888764,37.0,0.02631578947368418,0.03130665794014931,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421045,0.85788893699646,0.0808420181274414,
46,99516274,36,64,0.0881032943725586,0.058727286756038666,0.015048302710056305,0.6014132334126366,0.22573321393709544,0.3055555555555556,0.11278195488721805,0.0,0.3117717527514438,0.5318304322491911,28.0,0.5625,1.0,0.3333333333333333,0.06956521739130436,0.13333333333333333,0.30075187969924816,0.8571428571428571,0.2222222222222222,0.2864678680396644,0.20629654824733734,0.06617900729179382,
47,99516326,42,64,0.10846158862113953,0.06911413371562958,0.016322599723935127,0.569584595305579,0.19450299779781943,0.30952380952380953,0.07386363636363637,0.0,0.40056290102183567,0.4458197678563781,22.0,0.65625,1.0,0.47619047619047616,0.15504978662873398,0.30769230769230765,0.27956989247311825,0.8571428571428571,0.09523809523809523,0.3544603812297997,0.2744130790233612,0.293781042098999,
48,99517056,41,64,0.09857477247714996,0.06301822513341904,0.014372974634170532,0.5937050559171816,0.3418666964129152,0.3902439024390244,0.1402046783625731,0.0,0.3476090537883946,0.5261205408112949,23.0,0.640625,1.0,0.4634146341463415,0.12229729729729728,0.0,0.30601092896174864,0.8,0.17073170731707318,0.2917195345960715,0.2497955560684204,0.017801187932491302,
49,99517066,46,64,0.1100659966468811,0.07210517674684525,0.015888353809714317,0.5038397707369017,0.1970616969633485,0.30434782608695654,0.12728578892371994,0.0,0.39454503688471076,0.45567733526072796,18.0,0.71875,1.0,0.45652173913043476,0.22412162162162164,0.1818181818181818,0.25252525252525254,1.0,0.10869565217391304,0.3492592990717991,0.2984450161457062,0.12054848670959473,
50,99517122,48,1,0.09984219819307327,0.05498400330543518,0.012552924454212189,0.0013254228979349136,1.9428152328989274e-05,0.25,0.16363636363636364,0.0,0.003906624112278228,0.14092160522316893,47.0,0.02083333333333337,0.01563248224556446,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333343,0.8457152247428894,0.30971676111221313,
51,99519021,44,23,0.09545406699180603,0.05467793717980385,0.013895590789616108,0.3231953402811831,0.11799270605131569,0.25,0.11305418719211824,0.0,0.35706059327296225,0.6095359180201143,21.0,0.5227272727272727,0.9538644785466401,0.43478260869565216,0.1890909090909091,0.26666666666666666,0.2222222222222222,0.0,0.045454545454545456,0.2996111111111111,0.13449379801750183,0.022434799000620842,
52,99519022,52,64,0.12504315376281738,0.07155649363994598,0.016863834112882614,0.2548831758590845,0.041674441745633735,0.25,0.14052055604850633,0.0,0.36001044494720963,0.38485518408037417,12.0,0.8125,1.0,0.34615384615384615,0.16748717948717948,0.23076923076923078,0.167420814479638,0.5,0.057692307692307696,0.3413735671191554,0.4497472941875458,0.11715507507324219,
53,99524078,41,64,0.10997513681650162,0.06985253095626831,0.016715986654162407,0.5410313388196434,0.18512034098731794,0.21951219512195122,0.08712121212121213,0.0,0.33085189353341315,0.5434792933210212,23.0,0.640625,1.0,0.3902439024390244,0.08767123287671233,0.0,0.34831460674157305,1.0,0.12195121951219512,0.29960060893489304,0.2114945501089096,0.09936216473579407,/root/autodl-tmp/micro/experiments/v20_dense_stage1_medium10_sup01_fulltest/samples/dense_baseline_sample_0053.png
54,99524105,42,64,0.11094853281974792,0.0684751495718956,0.016451658681035042,0.44706108953271595,0.14154351837727586,0.23809523809523808,0.08358585858585858,0.0,0.3903472410974442,0.4388761926876016,22.0,0.65625,1.0,0.4523809523809524,0.2036105476673428,0.25806451612903225,0.2469135802469136,0.5,0.07142857142857142,0.3428172658456948,0.3263777494430542,0.026326188817620277,
55,99524510,45,64,0.10477997362613678,0.06772319227457047,0.01587231457233429,0.5015024026234944,0.14735635725067842,0.24444444444444444,0.08320251177394034,0.0,0.31870496444962104,0.4918687908691803,19.0,0.703125,1.0,0.4,0.12328767123287672,0.0,0.19289340101522842,0.8,0.13333333333333333,0.26795147460190527,0.24827970564365387,0.09549006819725037,
56,99532759,37,1,0.07801426947116852,0.04145650565624237,0.010566947050392628,0.0008967397986231623,1.0639216719249128e-05,0.2702702702702703,0.08823529411764706,0.0,0.004980054958345914,0.2600390579828338,36.0,0.027027027027026973,0.018520018085837364,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756743,0.28809502720832825,0.027473092079162598,
57,99536020,32,1,0.07300566136837006,0.03897838294506073,0.010137669742107391,0.001066623255610466,1.6347743571287765e-05,0.375,0.13333333333333333,0.0,0.005349335120990872,0.20193246048875155,31.0,0.03125,0.013236702419817448,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.8315591812133789,0.009271873161196709,
